City,Price,Room Type,Person Capacity,Multiple Rooms,Business,Bedrooms,City Center (km)
Amsterdam,194.03369812293488,Private room,2.0,1,0,1,5.022963798088291
Amsterdam,344.2457760176224,Private room,4.0,0,0,1,0.4883892888289836
Amsterdam,264.1014224451058,Private room,2.0,0,1,1,5.748311915159562
Amsterdam,433.5293979799874,Private room,4.0,0,1,2,0.384862012821602
Amsterdam,485.5529257375859,Private room,2.0,0,0,1,0.5447381834292384
Amsterdam,552.808567478265,Private room,3.0,0,0,2,2.13142008057136
Amsterdam,215.12431748412348,Private room,2.0,0,0,1,1.8810915643710744
Amsterdam,2771.3073840601787,Entire home/apt,4.0,0,0,3,1.6868069652027278
Amsterdam,1001.8044196564572,Entire home/apt,4.0,0,0,2,3.719141398657261
Amsterdam,276.52145384669467,Private room,2.0,1,0,1,3.142361425629701
Amsterdam,909.4743748974762,Entire home/apt,2.0,0,0,1,1.0099220248634968
Amsterdam,319.6400534295691,Private room,2.0,1,0,1,2.182707104451588
Amsterdam,675.6028402034074,Entire home/apt,4.0,0,0,1,2.9330458432919566
Amsterdam,552.808567478265,Entire home/apt,2.0,0,0,1,1.3054939315898395
Amsterdam,209.03147189089125,Private room,2.0,1,0,1,7.304535266554101
Amsterdam,368.8514986056758,Private room,2.0,0,0,1,1.0311006089592691
Amsterdam,368.8514986056758,Private room,2.0,0,0,1,1.327797157439684
Amsterdam,337.91859020926586,Private room,2.0,1,0,1,1.3663342379671055
Amsterdam,313.54720783633684,Private room,2.0,1,0,1,1.2897592303027183
Amsterdam,447.5898108874465,Entire home/apt,2.0,1,0,1,1.0576193314364548
Amsterdam,243.2451432990416,Private room,2.0,1,0,1,2.8706328438025386
Amsterdam,933.8457572704052,Entire home/apt,4.0,0,0,2,1.0140664267918649
Amsterdam,251.91573125864133,Private room,2.0,1,0,1,1.2470836669767065
Amsterdam,377.2877463501512,Private room,2.0,0,0,1,1.1674923014349312
Amsterdam,245.5885454502848,Private room,2.0,1,0,1,4.230634296706812
Amsterdam,217.70205985049097,Private room,2.0,1,0,1,4.180814737167991
Amsterdam,295.0343308415157,Private room,2.0,1,0,1,3.366018582385255
Amsterdam,295.0343308415157,Private room,2.0,0,0,1,4.1272800185441785
