verified_reviews,feedback
"[""like"",""siri"",""fact"",""siri"",""answer"",""accur"",""alexa"",""t"",""see"",""real"",""need"",""household"",""though"",""good"",""bargain"",""prime"",""day"",""deal""]",0
"[""sound"",""terribl"",""u"",""want"",""good"",""music"",""get"",""bose""]",0
"[""much"",""featur""]",0
"[""stop"",""work"",""2"",""week"",""t"",""follow"",""command"",""realli"",""fun"",""work""]",0
"[""sad"",""joke"",""worthless""]",0
"[""realli"",""disappoint"",""alexa"",""plug"",""wall"",""socket"",""time"",""fault"",""check"",""made"",""assumpt"",""compani"",""technolog"",""advanc"",""amazon"",""sell"",""product"",""recharg"",""batteri"",""return"",""appl"",""music"",""boom"",""speaker"",""give"",""flexibl"",""alexa""]",0
"[""got"",""great"",""sound"",""bass"",""t"",""work"",""time"",""still"",""hot"",""miss"",""recogn"",""thing""]",0
"[""super"",""impress"",""alexa"",""prime"",""laps"",""t"",""play"",""anyth"",""t"",""smart"",""enough"",""differenti"",""among"",""spotifi"",""account"",""t"",""use"",""either"",""random"",""speak"",""nobodi"",""talk"",""just"",""today"",""unplug"",""sure"",""ll"",""ever"",""use"",""alexa""]",0
"[""difficult"",""set"",""keep"",""time"",""enter"",""password""]",0
"[""alexa"",""hard"",""came""]",0
"[""item"",""longer"",""work"",""just"",""5"",""month"",""use"",""will"",""connect"",""wifi"",""unrespons"",""reset"",""request""]",0
"[""thing"",""bare"",""work"",""select"",""3rd"",""parti"",""app"",""stuff"",""think"",""box"",""send"",""mine"",""back"",""asap"",""wast"",""money""]",0
"[""return"",""2"",""echo"",""dot"",""get"",""refund"",""1"",""return"",""2"",""one"",""packag"",""want"",""refund"",""packag"",""see""]",0
"[""work""]",0
"[""echo"",""fan"",""one"",""work""]",0
"[""t"",""alway"",""respond"",""spoken"",""promp"",""word"",""thought"",""connect"",""echo"",""upstair"",""use"",""like"",""intercom"",""t"",""abl""]",0
"[""work"",""month"",""stop"",""tri"",""everyth"",""tri"",""make"",""work"",""noth"",""work"",""want"",""refund""]",0
"[""poor"",""qualiti"",""gave"",""away""]",0
