verified_reviews,feedback
"[""love"",""echo""]",1
"[""love""]",1
"[""sometim"",""play"",""game"",""answer"",""question"",""correct"",""alexa"",""say"",""got"",""wrong"",""answer"",""like"",""abl"",""turn"",""light"",""away"",""home""]",1
"[""lot"",""fun"",""thing"",""4"",""yr"",""old"",""learn"",""dinosaur"",""control"",""light"",""play"",""game"",""like"",""categori"",""nice"",""sound"",""play"",""music"",""well""]",1
"[""music""]",1
"[""receiv"",""echo"",""gift"",""need"",""anoth"",""bluetooth"",""someth"",""play"",""music"",""easili"",""access"",""found"",""smart"",""speaker"",""t"",""wait"",""see"",""els""]",1
"[""without"",""cellphon"",""use"",""mani"",""featur"",""ipad"",""see"",""use"",""great"",""alarm"",""u"",""almost"",""deaf"",""hear"",""alarm"",""bedroom"",""live"",""room"",""reason"",""enough"",""keep"",""fun"",""ask"",""random"",""question"",""hear"",""respons"",""seem"",""veri"",""smartbon"",""polit"",""yet""]",1
"[""think"",""5th"",""one"",""purchas"",""work"",""get"",""one"",""everi"",""room"",""hous"",""realli"",""like"",""featur"",""offer"",""specifili"",""play"",""music"",""echo"",""control"",""light"",""throughout"",""hous""]",1
"[""look"",""great""]",1
"[""love"",""listen"",""song"",""t"",""heard"",""sinc"",""childhood"",""get"",""news"",""weather"",""inform"",""great""]",1
"[""sent"",""85"",""year"",""old"",""dad"",""talk"",""constant""]",1
"[""love"",""learn"",""knew"",""thing"",""eveyday"",""still"",""figur"",""everyth"",""work"",""far"",""easi"",""use"",""understand"",""make"",""laugh"",""time""]",1
"[""purchas"",""mother"",""knee"",""problem"",""now"",""give"",""someth"",""tri"",""come"",""get"",""around"",""fast"",""like"",""enjoy"",""littl"",""big"",""thing"",""alexa"",""play"",""song"",""time"",""cook""]",1
"[""love"",""love"",""love""]",1
"[""just"",""expect""]",1
"[""love"",""wife"",""hate""]",1
"[""realli"",""happi"",""purchas"",""great"",""speaker"",""easi"",""set""]",1
"[""use"",""alexa"",""coupl"",""day"",""lot"",""fun"",""new"",""toy"",""like"",""new"",""household"",""member"",""tri"",""learn"",""differ"",""featu"",""benefit"",""come""]",1
"[""love"",""size"",""2nd"",""generat"",""echo"",""still"",""need"",""littl"",""improv"",""sound""]",1
"[""like"",""origin"",""echo"",""shorter"",""greater"",""fabric"",""color"",""choic"",""miss"",""volum"",""ring"",""top"",""now"",""just"",""plus"",""minus"",""button"",""big"",""deal"",""ring"",""w"",""comfort"",""well"",""like"",""use"",""standard"",""usb"",""charger"",""port"",""instead"",""previous"",""round"",""pin"",""guess"",""sound"",""seem"",""work"",""still"",""answer"",""alexa"",""echo"",""comput"",""like""]",1
"[""love"",""echo"",""good"",""music"",""sound"",""play"",""alexa"",""understand"",""command"",""difficult"",""time"",""find"",""specif"",""playlist"",""song"",""spotifi"",""good"",""amazon"",""music"",""lack"",""major"",""program""]",1
"[""love"",""alexa"",""use"",""play"",""music"",""play"",""radio"",""itun"",""play"",""podcast"",""anypod"",""set"",""remind"",""listen"",""flash"",""brief"",""news"",""weather"",""everi"",""morn"",""reli"",""custom"",""list"",""like"",""abl"",""voic"",""control"",""volum"",""re"",""sure"",""ll"",""continu"",""find"",""new"",""use"",""sometim"",""bit"",""frustrat"",""alexa"",""t"",""understand"",""re"",""say""]",1
"[""set"",""day"",""still"",""ad"",""smart"",""home"",""devic"",""speaker"",""great"",""play"",""music"",""like"",""size"",""station"",""kitchen"",""counter"",""intrus"",""look""]",1
"[""love"",""play"",""sleep"",""sound"",""immedi"",""ask""]",1
"[""got"",""second"",""unit"",""bedroom"",""expect"",""sound"",""improv"",""didnt"",""realli"",""see"",""differ"",""overal"",""big"",""improv"",""1st"",""generat""]",1
"[""amaz"",""product""]",1
"[""love"",""echo"",""easi"",""oper"",""load"",""fun"",""everyth"",""advertis"",""use"",""main"",""play"",""favorit"",""tune"",""test"",""alexa"",""knowledg""]",1
"[""sound"",""great"",""love""]",1
"[""fun"",""item"",""play"",""get"",""use"",""use"",""sometim"",""hard"",""time"",""answer"",""question"",""ask"",""think"",""will"",""better""]",1
"[""just"",""like"",""one""]",1
"[""still"",""learn"",""capabl"",""far"",""pretti"",""pretti"",""pretti"",""good""]",1
"[""like""]",1
