rating,date,variation,verified_reviews,feedback
2,30-Jul-18,Charcoal Fabric,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0
2,30-Jul-18,Charcoal Fabric,Sound is terrible if u want good music too get a bose,0
1,30-Jul-18,Charcoal Fabric,Not much features.,0
1,30-Jul-18,Sandstone Fabric,"Stopped working after 2 weeks ,didn't follow commands!? Really fun when it was working?",0
2,30-Jul-18,Heather Gray Fabric,Sad joke. Worthless.,0
2,29-Jul-18,Charcoal Fabric,"Really disappointed Alexa has to be plug-in to wall socket all the time.  My fault for not checking this, but made the assumption that a company has technologically advanced as Amazon would sell this product with a rechargeable battery.  If I could return it, I would as my Apple music and boom speaker give me more flexibility the Alexa.",0
2,29-Jul-18,Sandstone Fabric,It's got great sound and bass but it doesn't work all of the time. Its still hot or miss when it recognizes things,0
2,29-Jul-18,Sandstone Fabric,"I am not super impressed with Alexa. When my Prime lapsed, she wouldn't play anything. She isn't smart enough to differentiate among spotify accounts so we can't use it for that either. She randomly speaks up when nobody is talking to her. Just today I unplugged her...not sure I'll ever use my Alexa again.",0
2,29-Jul-18,Charcoal Fabric,Too difficult to set up.  It keeps timing out before you can enter the password,0
1,28-Jul-18,Charcoal Fabric,Alexa hardly came on..,0
1,31-Jul-18,Black,Item no longer works after just 5 months of use. Will not connect to wifi and unresponsive to reset requests.,0
1,29-Jul-18,Black,This thing barely works. You have to select 3rd party apps to do stuff you'd think it could do out of the box. I'm sending mine back asap. Waste of money.,0
1,28-Jul-18,Black,I returned 2 Echo Dots & am only getting refund for 1. I returned 2 in one package. I want my refunds for both of them. They are in the same package. Can you not see them both???!!!,0
1,28-Jul-18,Black,not working,0
1,27-Jul-18,Black,I'm an Echo fan but this one did not work,0
2,26-Jul-18,Black,Doesn't always respond when spoken to with promp word. I thought it would connect to my echo upstairs and use it like an intercom haven't been able to do that.,0
1,25-Jul-18,White,It worked for a month or so then it stopped. I've tried everything to try and make it work but nothing is working. I want a refund,0
2,25-Jul-18,Black,Poor quality. Gave it away.,0
1,24-Jul-18,Black,"Never could get it to work. A techie friend looked at it for me and said the adapter wasn't strong enough to power it and that it looked like it had been bought at a dollar store. So, I am going to replace the adapter and hope it works then.",0
2,22-Jul-18,White,"Initially, this echo dot worked very well. Over time, the dot stopped responding to 'alexa' unless you were within one foot of it yelling. The other echos/echo dots in other rooms would respond without a response from this echo dot. Would not recommend buying refurbished.",0
1,20-Jul-18,Black,"I bought an echo dot that had been refurbished but its stops whatever function its performing quite often, doesn't wake up every time, randomly turns on but does nothing. Do not buy a refurbished Echo dot.",0
1,19-Jul-18,Black,Dont trust this....,0
1,13-Jul-18,Black,I wanted to use these as a radio and intercom as we get terrible fm reception where i live.  The speech recognition software is horrible.  My wife and i both are native Americans whose language is English she is from the north i am from Texas  neither have an accent from our birth area and yet it does not do a good job understanding us.  We bought two they do the same thing.  Additionally wifi reception was poor to marginal. I had to buy Wifi range extender for office and the other is ten feet from our router.  Both had problems Switched them around no difference.  So it they are now disconnected dust collectors.,0
1,12-Jul-18,Black,Item has never worked. Out of box it is broken. Spent several days trying to get it working and running same &#34;fixes&#34; from Amazon. The only thing accomplished is I will never order another refurbished device.,0
1,11-Jul-18,Black,Great product but returning for new Alexa Dot.  Refurbished is already giving me problems with connection.,0
