col_0,review,sentiment
0,"I was skeptical before going to this because of the horribly assembled trailer which made it look like an equally horrible movie. I was nicely surprised by how much i did not waste my money. I believe the films success comes from how creepy it really is and how the environment of the house is. Little things like the sensor lights create a true uneasy feeling. The shadows and ominously cold feeling of the house make it easy to tell that no matter how much you know horror films, anything could happen in the film. The acting is by no means perfect, nor were they bad. The main character is convincing even given the annoying teen dramas that surround her. In the end, I was thoroughly impressed with the film in most aspects.<br /><br />It is definitely a film i would recommend.",positive
1,"Being a Bills fan, I originally found it annoying that they made a movie about the Bills and the losing of four superbowls. But once I began to watch, I felt really connected. It was actually nice to see the ""Bills"" win the superbowl, and I must say, that for a TV movie it was actually very well done. Gil Bellows as the QB, and Jon Voight as the old-school Coach did a very fine job. 8 out of 10",positive
3,"T.Z. Post, college professor, receives a false letter stating he inherited $750,000. Now with financial means, he withdraws his life savings of $4,000, and decides to finally going out & live. After having his baggage sent on a train to Chicago, he meets a traveling vaudeville troupe, and decides there good enough for him to put on a show on Broadway. The night of the show, poor Prof. Post has to hide from his creditors, settle the relationship woes between girlfriend Pansy and & floozy diva Eleanor, and still make sure the show must go on. After watching many of Keaton's silent gems, this one is a pain to sit through, but I felt, it could have been a lot worse. Supporting cast Durante, Todd, & Selwyn come off very annoying at times, but still likeable. A pre-Charlie Chan Toler is good as the frustrated show director. 90% of the script is badly written as MGM is trying to pass this off as a poor man's Marx Bros. film where many of the sight gags fall flat from the beginning. Compiled with Keaton's drinking problems at the time, this movie just is a sad moment in Buster's life. Rating- 3.",negative
6,"Well then, thank you SO MUCH Disney for DESTROYING the fond memories I USED to have of my FORMER favorite movie. I was about 5 when the original movie came out, and it was one of the first movies I remember seeing. So, now that I'm 16, and feeling masochistic enough, I decided to rent this movie. Thus, I managed to poison all my memories of the original movie with this sorry excuse for a movie. This movie takes everything that made the original endearing and wrecks it, right down to the last detail.<br /><br />In this movie, Ariel and Eric celebrate the birth of their daughter, Melody, and go to show her to everyone in the ocean...BROADWAY STYLE! After the musical number ends, within minutes, the sea witch Morgana shows up and threatens to kill Melody if Triton doesn't give up the trident. Thus, he gives it up without even a fight. Eric stands there gaping, though Ariel figures out how to use a sword and save Melody. Morgana escapes, so Ariel and Eric decide that Melody should never go near the sea until Morgana is caught.<br /><br />Well...uh, nothing of note really happens. Eric is a total wuss. He never really manages to do anything. Ariel sort of does something. Melody manages to screw things up. Plus, the animation is a new low-point for Disney. The computer graphics wind up clashing with the backgrounds. Ever single opportunity for character development is wasted. The songs bite.<br /><br />Look, don't waste your time. I'm pretty sure even the little kids are going to be bored out of their skulls with this, since nothing even remotely exciting ever happens. They won't want to sing the songs. If you manage to grab a copy of this, throw it out into the ocean and hope that nobody ever finds it. Ever.",negative
7,"This movie is just plain bad. Weak story , weak directing and below average acting. The thing that really irritated me was the blatant advertising - constantly - for a well known internet provider. It is obvious some scenes are written to do just that , advertising. This movie is a slap in the face to anyone who payed money for this.<br /><br />Do not watch this, it not worth your time.",negative
10,"If you enjoy suspense this movie has it. The fact that Marina Zudina portrays a mute adds to her haplessness and increases the suspense. Alec Guiness's appearance was nice, but didn't really add to the movie. I'm not sure if Evan Richard's part as Andy Clarke was an attempt to add a little humor or if he was supposed to just be a bumbling idiot. I thought the cinematography was excellent. This added not just to the quality of the production but to the suspense as well. The bathtub seen with the water droplets in slow motion was wonderful. Also the scene where the knife comes down and then it switches to Andy Clarke cutting an extremely rare piece of meat was very well done. I would call it overall good entertainment",positive
21,"I had always been a big Lynda Carter-Wonder Woman fan so when the Sci-Fi Channel ran this movie,I had to see it.I was bitterly disappointed.This is a Wonder Woman movie in name only.She doesn't wear the right costume [she must have refused to or had ordered major changes] and the plot runs like a poor man's James Bond.There's none of the things that made the comic book heroine a success i.e. the superhuman strength or determined will.It's just one long bad dream.I don't even think Cathy is all that attractive anyway.I wouldn't waste your time on this.",negative
28,"It occurs to me that some of the films that have been banned during the course of cinema history were actually very important and very good films. I'd like to argue that instead of banning challenging, controversial movies the censors should consider banning films that are so bad that they pose a threat to your IQ and your sanity. If they were to do so one of the first films to be quickly hidden away would undoubtedly be ""Stroker Ace"". This film is awful with a capital 'A'. It is the worst film Burt Reynolds ever starred in.... quite a feat for for a man with ""Cannonball Run II"", ""Cop And A Half"" and ""Rent-A-Cop"" on his CV!<br /><br />The wafer-thin story introduces us to successful stock car racer Stroker Ace (Reynolds), a man who loves fast cars and fast women. He gets stuck in a demeaning contract with crooked promoter Clyde Torkle (Ned Beatty). The contract requires him to do some humiliating promotional work for a new chain of fast food restaurants, such as dressing up as a giant chicken. Thrown into the mix are Lugs (Jim Nabors), Ace's dim-witted pal, and Pembrook Feeney (Loni Anderson), a bimbo with a brain fractionally smaller than a pea who is wooed by Ace.<br /><br />Hal Needham, the director of this low-grade garbage, was formerly a stuntman and he made numerous films that relied on his expertise in staging spectacular stunts and car chases/races. Some of these films were OK, like ""Hooper"" and ""Stunts Unlimited"", but with ""Stroker Ace"" he reaches a career nadir. The characters are so stupid that you actually feel pity for the actors playing them. Anderson especially is saddled with such a dumb role that it makes you grind your teeth with despair. The humour is weak and infantile throughout, and the stunts and race sequences are unremarkable. Even the out-takes during the closing credits (which can be found in all the Reynolds-Needham collaborations) are generally unfunny, which gives the impression that maybe the film wasn't much fun to make. ""Stroker Ace"" is a stinker of considerable magnitude.",negative
30,"The Long Kiss Goodnight has just about everything action fans want: a witty screenplay by the guy who wrote Lethal Weapon, Samuel L. Jackson, and great action set pieces by Renny Harlin.<br /><br />Seriously underrated. One of the best action movies ever.",positive
31,"If you seen Rodney Dangerfield's previous movies and performances, you'll recognise several of the jokes made in this odd piece of dreck. Written like a sitcom, this movie fails to strike any sort of likeable chord throughout, from the self-help doctor played by the aways sexy-as-chopped liver Molly Shannon to the 'I'm fat, and therefore funny' John Linette. The 5 wives themselves are likeable enough, and if this had been done as a pilot for an action-adventure series, it might have worked. Instead, it comes off like a male fantasy that's trying hard not to be politically incorrect.",negative
